DRG;Partition;Bezeichnung;Bewertungsrelation bei Hauptabteilung;Bewertungsrelation bei Hauptabteilung und Beleghebamme;Mittlere Verweildauer;Untere Grenzverweildauer;Untere Grenzverweildauer: Bewertungsrelation pro Tag;Obere Grenzverweildauer;Obere Grenzverweildauer: Bewertungsrelation pro Tag;Externe Verlegung Abschlag pro Tag;Verlegungsfallpauschale;Ausnahme von Wiederaufnahme;Pflegeerlös Bewertungsrelation pro Tag
N11A;O;Andere OR-Prozeduren an den weiblichen Geschlechtsorganen mit bestimmtem Eingriff oder komplexer Diagnose mit äußerst schweren CC;2,351;;17,9;5;0,290;36;0,068;0,092;;;1,0003
N11B;O;Andere OR-Prozeduren an den weiblichen Geschlechtsorganen, ohne bestimmten Eingriff, ohne komplexe Diagnose oder äußerst schwere CC;1,131;;8,9;2;0,276;20;0,065;0,084;;;0,8256
N13A;O;Große Eingriffe an Vagina, Zervix und Vulva auß. bei BNB oder kl. Eingriffe an Vagina/Douglasraum oder best. Eingriff an der Harnblase, Alter > 80 Jahre od. äuß. schw. od. schw. CC od. best. Embolisation an viszeralen und and. abdominalen Gefäßen bei BNB;1,282;;7,6;2;0,267;18;0,073;0,093;;;0,9429
N13B;O;Große Eingr. an Vagina, Zervix u. Vulva auß. bei BNB od. kl. Eingriffe an Vagina/Douglasraum od. best. Eingr. an der Harnblase, Alter < 81 Jahre, ohne äuß. schw. od. schw. CC, mit aufwend. Eingr., ohne best. Embol. an visz. u. and. abdom. Gefäßen bei BNB;0,922;;3,5;1;0,368;8;0,075;0,084;;;0,8347
N13C;O;Große Eingriffe an Vagina, Zervix und Vulva außer bei bösartiger Neubildung oder kleine Eingriffe an Vagina und Douglasraum oder bestimmter Eingriff an der Harnblase, Alter < 81 Jahre, ohne äußerst schwere oder schwere CC, ohne aufwendigen Eingriff;0,700;;3,2;1;0,252;7;0,072;0,079;;;0,9979
N14Z;O;Hysterektomie auß. bei BNB m. Beckenbodenpl. od. Brachytherapie b. Krankh./Stör. weibl. Geschlechtsorg., > 1 BT, m. äuß. schw. CC od. Ovariektomie u. kompl. Eingriffe an den Tubae uterinae auß. bei BNB, ohne äuß. schwere od. schwere CC, Alter < 16 Jahre;1,257;;5,0;1;0,210;9;0,059;0,070;;;0,7963
N15Z;O;Strahlentherapie bei Krankheiten und Störungen der weiblichen Geschlechtsorgane, Bestrahlungen an mindestens 9 Tagen;3,114;;23,6;7;0,372;42;0,128;0,121;;x;0,8125
N16A;O;Strahlentherapie bei Krankheiten und Störungen der weiblichen Geschlechtsorgane, mehr als ein Belegungstag, Bestrahlungen an mindestens 5 Tagen;1,211;;7,9;2;0,380;16;0,144;0,128;;x;0,7622
N16B;O;Strahlentherapie bei Krankheiten und Störungen der weiblichen Geschlechtsorgane, mehr als ein Belegungstag, Bestrahlungen an weniger als 5 Tagen oder Brachytherapie;0,612;;3,4;1;0,275;9;0,163;0,126;;x;0,8323
N21A;O;Hysterektomie außer bei bösartiger Neubildung, ohne äuß. schw. oder schw. CC, ohne komplexen Eingriff, ohne Beckenbodenplastik oder subtotale und andere Hysterektomie bei bösartiger Neubildung oder komplexe Myomenukleation, mit aufwendigem Eingriff;1,189;;4,3;1;0,197;9;0,064;0,074;;;0,8098
N21B;O;Hysterektomie außer bei bösartiger Neubildung, ohne äuß. schw. oder schw. CC, ohne komplexen Eingriff, ohne Beckenbodenplastik oder subtotale und andere Hysterektomie bei bösartiger Neubildung oder komplexe Myomenukleation, ohne aufwendigen Eingriff;1,032;;3,4;1;0,303;7;0,065;0,071;;;0,8536
N23Z;O;Andere rekonstruktive Eingriffe an den weiblichen Geschlechtsorganen oder andere Myomenukleation;1,064;;3,5;1;0,318;7;0,063;0,070;;;0,8948
N25Z;O;Andere Eingriffe an Uterus und Adnexen oder bestimmten Hernien außer bei bösartiger Neubildung, ohne komplexe Diagnose oder andere kleine Eingriffe an den weiblichen Geschlechtsorganen;0,735;;2,7;1;0,183;6;0,070;0,073;;;0,9703
N33Z;O;Mehrzeitige komplexe OR-Prozeduren bei Krankheiten und Störungen der weiblichen Geschlechtsorgane;8,579;;28,6;9;0,434;47;0,226;0,146;;;1,3205
N34Z;O;Große Eingriffe an Darm oder Harnblase bei Krankheiten und Störungen der weiblichen Geschlechtsorgane;4,067;;15,1;4;0,364;28;0,084;0,113;;;1,2045
N38Z;O;Komplizierende Konstellation mit best. op. Eingriff bei Krankheiten u. Störungen der weibl. Geschlechtsorg. od. Beckenevisz. bei der Frau u. radikale Vulvektomie od. best. Lymphadenekt. mit äuß. schw. CC, mit kompl. Eingriff od. kompliz. Konstellation;6,734;;24,5;7;0,457;43;0,188;0,143;;;1,2522
N60A;M;Bösartige Neubildung der weiblichen Geschlechtsorgane, mehr als ein Belegungstag, Alter < 19 Jahre oder äußerst schwere CC;1,500;;14,2;4;0,281;28;0,069;0,092;;x;0,9914
N60B;M;Bösartige Neubildung der weiblichen Geschlechtsorgane, ein Belegungstag oder Alter > 18 Jahre, ohne äußerst schwere CC;0,550;;5,2;1;0,317;13;0,068;0,082;;x;0,9102
N61Z;M;Infektion und Entzündung der weiblichen Geschlechtsorgane;0,363;;3,9;1;0,115;8;0,060;0,068;;;0,7576
N62A;M;Menstruationsstörungen und andere Erkrankungen der weiblichen Geschlechtsorgane mit komplexer Diagnose oder Alter < 16 Jahre;0,357;;3,0;1;0,162;7;0,074;0,079;;;0,9266
N62B;M;Menstruationsstörungen und andere Erkrankungen der weiblichen Geschlechtsorgane ohne komplexe Diagnose, Alter > 15 Jahre;0,266;;2,4;1;0,108;5;0,075;0,076;;;0,8551
MDC 14 Schwangerschaft, Geburt und Wochenbett;;;;;;;;;;;;;
O01A;O;Sekundäre Sectio caesarea mit mehreren komplizierenden Diagnosen, mit intrauteriner Therapie oder komplizierender Konstellation oder Mehrlingsschwangerschaft oder Sectio caesarea mit IntK > 196 / 184 / 184 Punkte;3,405;3,233;17,0;5;0,351;35;0,124;;x;x;1,0287
O01B;O;Sectio caesarea, Schwangerschaftsd. bis 25 vollend. W. (SSW), m. mehr. kompliz. Diag., m. intraut. Ther. od. kompliz. Konstell. od. Mehrlingsschw. od. bis 33 SSW od. m. kompl. Diag., m. od. oh. kompliz. Diag. m. best. Eingriff b. Sectio od. äuß. schw. CC;2,332;2,100;18,5;5;0,222;37;0,072;0,068;;x;0,7560
O01C;O;Sectio caesarea mit mehreren kompliz. Diag., Schwangerschaftsdauer 26 bis 33 SSW, oh. best. kompliz. Faktoren od. mit kompliz. Diag., bis 25 SSW od. mit Tamponade einer Blutung od. Thromboembolie in Gestationsperiode m. OR-Proz., oh. äuß. schw. CC;1,388;1,250;11,9;3;0,187;26;0,073;0,058;;x;0,7228
O01D;O;Sekundäre Sectio caesarea m. mehrer. kompliz. Diagn., Schwangerschaftsdauer > 33 vollendete Wochen (SSW), oh. intraut. Ther., oh. kompliz. Konst., ohne Mehrlingsschw. od. bis 33 SSW od. m. kompl. Diag., mit od. ohne kompliz. Diag., oh. äuß. schw. CC;1,149;0,974;6,4;1;0,212;13;0,046;0,057;;x;0,7052
O01E;O;Primäre Sectio caesarea ohne äuß. schwere CC, mit komplizierender oder komplexer Diagnose oder Schwangerschaftsdauer bis 33 vollendete Wochen (SSW) oder sekundäre Sectio caesarea, ohne komplexe Diagnose, Schwangerschaftsdauer > 33 vollendete Wochen;0,970;0,814;4,6;1;0,156;9;0,047;0,056;;x;0,7082
O01F;O;Primäre Sectio caesarea ohne komplexe Diagnose, Schwangerschaftsdauer mehr als 33 vollendete Wochen (SSW);0,769;0,688;3,6;1;0,124;7;0,051;0,057;;x;0,7854
O02A;O;Vaginale Entbindung mit komplizierender OR-Prozedur, Schwangerschaftsdauer bis 33 vollendete Wochen oder mit intrauteriner Therapie oder komplizierende Konstellation oder bestimmtem Eingriff oder komplizierender Diagnose oder mit äußerst schweren CC;1,079;0,921;5,4;1;0,524;14;0,062;0,075;;x;0,8932
O02B;O;Vaginale Entbindung mit komplizierender OR-Prozedur, Schwangerschaftsdauer mehr als 33 vollendete Wochen, ohne intrauterine Therapie, ohne komplizierende Konstellation, ohne bestimmten Eingriff, ohne komplizierende Diagnose, ohne äußerst schwere CC;0,816;0,641;3,8;1;0,260;8;0,051;0,058;;x;0,7033
O03Z;O;Eingriffe bei Extrauteringravidität;0,716;0,715;2,7;1;0,164;6;0,070;0,074;;x;0,8815
O04A;O;Stationäre Aufnahme nach Entbindung oder Abort mit OR-Prozedur oder bestimmtem Eingriff an der Mamma mit komplexem Eingriff;1,397;1,392;8,9;2;0,235;21;0,056;0,072;;x;0,8421
O04B;O;Stationäre Aufnahme nach Entbindung oder Abort mit OR-Prozedur oder bestimmtem Eingriff an der Mamma, ohne komplexen Eingriff;0,631;0,621;4,1;1;0,234;9;0,059;0,068;;x;0,8340
O04C;O;Stationäre Aufnahme nach Entbindung mit kleinem Eingriff an Uterus, Vagina, Perianalregion und Bauchwand oder Abort mit Dilatation und Kürettage, Aspirationskürettage oder Hysterotomie oder bestimmte Amnionpunktion;0,472;0,467;2,8;1;0,140;6;0,068;0,071;;x;0,9341
O05A;O;Bestimmte OR-Prozeduren in der Schwangerschaft mit intrauterinem operativen Verschluss des offenen Rückens;2,548;2,510;7,3;1;0,340;13;0,065;0,082;;x;0,7371
O05B;O;Cerclage und Muttermundverschluss oder komplexe OR-Prozedur oder bestimmte intrauterine Operation am Feten, mehr als ein Belegungstag;0,869;0,811;7,5;2;0,158;19;0,044;0,056;;x;0,6830
O05C;O;Bestimmte OR-Prozeduren in der Schwangerschaft, ein Belegungstag oder ohne Cerclage, ohne Muttermundverschluss, ohne komplexe OR-Prozedur, ohne bestimmte intrauterine Operation am Feten, mit fetoskopischer Hochfrequenzablation von Gefäßen;0,828;0,798;4,2;1;0,390;9;0,065;0,075;;x;0,7777
O05D;O;Bestimmte OR-Prozeduren in der Schwangerschaft, ein Belegungstag oder ohne Cerclage, Muttermundverschluss, komplexe OR-Prozedur und bestimmte intrauterine Operation am Feten, mit wenig aufwendigem Eingriff oder intrauterine Therapie des Feten;0,564;0,548;3,2;1;0,217;7;0,067;0,072;;x;0,7406
O60A;M;Vaginale Entbindung mit mehreren komplizierenden Diagnosen, mindestens eine schwer, Schwangerschaftsdauer bis 33 vollendete Wochen oder mit komplizierender Konstellation;1,298;1,068;13,5;3;0,193;29;0,066;0,053;;x;0,6708
O60B;M;Vaginale Entbindung mit mehr. kompliz. Diag., mind. eine schwer, > 33 vollend. SSW, ohne kompliz. Konstell. od. Tamp. einer Blutung od. Thromboemb. während der Gestationsp. oh. OR-Proz. od. schwere od. mäßig schwere kompliz. Diag. bis 33 vollend. SSW;0,734;0,557;4,6;1;0,276;10;0,047;0,055;;x;0,6745
O60C;M;Vaginale Entbindung mit schwerer oder mäßig schwerer komplizierender Diagnose oder Schwangerschaftsdauer bis 33 vollendete Wochen;0,601;0,444;3,7;1;0,198;7;0,046;0,052;;x;0,6562
O60D;M;Vaginale Entbindung ohne komplizierende Diagnose, Schwangerschaftsdauer mehr als 33 vollendete Wochen;0,502;0,369;3,0;1;0,146;6;0,049;0,052;;x;0,6964
O61Z;M;Stationäre Aufnahme nach Entbindung oder Abort ohne OR-Prozedur, ohne bestimmten Eingriff an der Mamma;0,302;0,294;3,5;1;0,133;7;0,055;0,061;;x;0,7471
O63Z;M;Abort ohne Dilatation und Kürettage, Aspirationskürettage oder Hysterotomie;0,254;0,249;2,4;1;0,100;5;0,067;0,068;;x;0,8378
O65A;M;Andere vorgeburtliche stationäre Aufnahme mit äußerst schweren oder schweren CC oder komplexer Diagnose oder komplizierendem Eingriff oder ein Belegungstag;0,402;0,369;4,4;1;0,233;10;0,050;0,058;;x;0,7639
O65B;M;Andere vorgeburtliche stationäre Aufnahme ohne äußerst schwere oder schwere CC, ohne komplexe Diagnose, ohne komplizierenden Eingriff, mehr als ein Belegungstag;0,333;0,307;3,8;;;9;0,051;0,057;;x;0,6674
MDC 15 Neugeborene;;;;;;;;;;;;;
P01Z;O;Neugeborenes, verstorben < 5 Tage nach Aufnahme mit signifikanter OR-Prozedur;1,721;;2,5;;;;;;x;x;5,1750
P02A;O;Kardiothorakale oder Gefäßeingriffe mit Beatmung > 480 Stunden oder bestimmte Eingriffe bei angeborener Fehlbildungen mit Beatmung > 899 Stunden;22,030;;63,8;20;0,840;82;0,348;;x;x;4,3470
P02B;O;Kardiothorakale oder Gefäßeingriffe bei Neugeborenen, Beatmung > 180 und < 481 Stunden oder bestimmte Eingriffe bei angeborenen Fehlbildungen, Beatmung > 180 und < 900 Stunden oder Eingriff bei univentrikulärem Herzen, Beatmung < 481 Stunden;11,443;;31,9;10;0,717;50;0,260;;x;x;3,4531
P02C;O;Kardiothorakale oder Gefäßeingriffe bei Neugeborenen ohne Eingriff bei univentrikulärem Herzen oder bestimmte Eingriffe bei angeborenen Fehlbildungen, ohne Beatmung > 180 Stunden;7,856;;22,5;6;0,729;39;0,233;0,217;;x;3,0372
P03A;O;Aufnahmegewicht 1000 - 1499 g, mehrere schwere Probleme mit signifikanter OR-Prozedur oder mehrzeitige komplexe OR-Prozeduren, mit Beatmung > 479 Stunden oder mehrere schwere Probleme ohne signifikante OR-Prozedur mit Beatmung > 599 Stunden;12,640;;63,0;20;0,591;81;0,220;;x;x;3,6859
P03B;O;Aufnahmegewicht 1000 - 1499 g mit sig. OR-Prozedur oder Beat. > 120 Std., oh. Beat. > 599 Std. oder oh. mehrere schwere Probleme, oh. Beat. > 479 Std. oder oh. mehrere schwere Probleme oder oh. sig. OR-Prozedur oder oh. mehrzeitige komplexe OR-Prozedur;8,196;;47,8;15;0,505;66;0,172;;x;x;3,0177
P04A;O;Aufnahmegewicht 1500 - 1999 g, mehrere schwere Probleme mit sig. OR-Prozedur oder mehrz. kompl. OR-Prozeduren, mit Beatmung > 240 Std. oder mehrere schwere Probleme mit Beatmung > 320 Std. oder temporärer Verschluss eines Bauchwanddefektes;12,373;;52,7;17;0,641;71;0,232;;x;x;3,5205
P04B;O;Aufnahmegew. 1500 - 1999 g, sig. OR-Proz. od. Beat. > 120 Std., oh. meh. schw. Probl. od. oh. Beat. > 320 Std., oh. mehrz. kompl. OR-Proz. od. oh. Beat. > 240 Std., oh. sig. OR-Proz. od. oh. Beat. > 240 Std., oh. temp. Verschluss BW-Defekt;5,416;;32,8;10;0,481;51;0,163;;x;x;2,8293
P05A;O;Aufnahmegewicht 2000 - 2499 g mit sig. OR-Prozedur oder Beatmung > 95 Stunden, mit mehreren schweren Problemen oder temporärem Verschluss eines Bauchwanddefektes, mit Beatmung > 275 Stunden oder mit mehrzeitigen komplexen OR-Prozeduren;12,297;;51,2;16;0,687;69;0,234;;x;x;3,5248
P05B;O;Aufnahmegewicht 2000 - 2499 g mit signifikanter OR-Prozedur oder Beatmung > 95 Stunden, mit mehreren schweren Problemen oder temporärem Verschluss eines Bauchwanddefektes, ohne Beatmung > 275 Stunden, ohne mehrzeitige komplexe OR-Prozeduren;4,813;;23,6;7;0,527;42;0,193;;x;x;2,8921
P05C;O;Aufnahmegewicht 2000 - 2499 g mit signifikanter OR-Prozedur oder Beatmung > 95 Stunden, ohne mehrere schwere Probleme, ohne mehrzeitige komplexe OR-Prozeduren, ohne temporären Verschluss eines Bauchwanddefektes;3,241;;19,3;5;0,521;36;0,161;0,154;;x;2,8627
P06A;O;Neugeborenes, Aufnahmegewicht > 2499 g, sig. OR-Proz. oder Beatmung > 95 Std., mehrere schwere Probleme mit sig. OR-Proz. oder mit Beatmung > 120 Std. oder best. aufwendige OR-Proz., mit Beatmung > 240 Std. oder mehrz. kompl. OR-Proz. oder Dialyse;8,610;;32,0;10;0,685;50;0,246;;x;x;3,6300
P06B;O;Neugeborenes, Aufnahmegewicht > 2499 g, sig. OR-Proz. od. Beatmung > 95 Std., mehrere schwere Probleme mit sig. OR-Proz. od. mit Beatmung > 120 Std. od. best. aufwendige OR-Proz., ohne Beatmung > 240 Std., ohne mehrz. kompl. OR-Proz., ohne Dialyse;4,072;;17,0;5;0,561;32;0,202;;x;x;2,9327
P06C;O;Neugeborenes, Aufnahmegewicht > 2499 g mit signifikanter OR-Prozedur oder Beatmung > 95 Stunden, ohne mehrere schwere Probleme oder ohne sig. OR-Prozedur oder ohne Beatmung > 120 Std., ohne bestimmte aufwendige OR-Prozeduren;2,646;;12,4;3;0,588;25;0,190;;x;x;2,8685
P60A;M;Neugeborenes, verstorben < 5 Tage nach Aufnahme ohne signifikante OR-Prozedur;0,473;;1,4;;;;;;x;x;3,2843
P60B;M;Neugeborenes, verlegt < 5 Tage nach Aufnahme ohne signifikante OR-Prozedur, zuverlegt oder Beatmung > 24 Stunden;0,412;;1,9;;;;;;x;x;2,9273
P60C;M;Neugeborenes, verlegt < 5 Tage nach Aufnahme ohne signifikante OR-Prozedur, nicht zuverlegt, ohne Beatmung > 24 Stunden (Mindestverweildauer 24 Stunden für das Krankenhaus, in dem die Geburt stattfindet);0,198;;2,0;;;;;;x;x;1,0605
P61A;M;Neugeborenes, Aufnahmegewicht < 600 g mit signifikanter OR-Prozedur;29,688;;118,0;38;0,724;136;0,258;0,237;;x;4,2713
P61B;M;Neugeborenes, Aufnahmegewicht < 600 g ohne signifikante OR-Prozedur;21,577;;100,4;32;0,648;118;0,246;0,211;;x;4,0536
P61C;M;Neugeborenes, Aufnahmegewicht 600 - 749 g mit signifikanter OR-Prozedur;24,653;;99,2;32;0,698;117;0,238;0,230;;x;4,0571
P61D;M;Neugeborenes, Aufnahmegewicht 600 - 749 g ohne signifikante OR-Prozedur;19,013;;87,0;28;0,649;105;0,226;0,214;;x;3,9928
P61E;M;Neugeborenes, Aufnahmegewicht < 750 g, verstorben < 29 Tage nach Aufnahme;4,127;;10,8;;;24;0,367;;x;x;5,6288
P62A;M;Aufnahmegewicht 750 - 999 g mit signifikanter OR-Prozedur;22,808;;96,9;31;0,670;115;0,249;0,219;;x;4,0348
P62B;M;Aufnahmegewicht 750 - 874 g ohne signifikante OR-Prozedur;14,566;;72,5;23;0,602;90;0,213;0,197;;x;3,6369
P62C;M;Aufnahmegewicht 875 - 999 g ohne signifikante OR-Prozedur;12,666;;64,7;21;0,570;83;0,204;0,191;;x;3,6035
P62D;M;Aufnahmegewicht 750 - 999 g, verstorben < 29 Tage nach Aufnahme;4,240;;12,5;;;24;0,333;;x;x;5,5305
P63Z;M;Aufnahmegewicht 1000 - 1249 g ohne signifikante OR-Prozedur, ohne Beatmung > 120 Stunden;5,678;;38,7;12;0,431;57;0,153;0,141;;x;2,5349
P64Z;M;Aufnahmegewicht 1250 - 1499 g ohne signifikante OR-Prozedur, ohne Beatmung > 120 Stunden;4,277;;31,3;9;0,423;49;0,135;0,131;;x;2,3750
P65A;M;Aufnahmegewicht 1500 - 1999 g ohne signifikante OR-Prozedur, ohne Beatmung > 120 Stunden, mit mehreren schweren Problemen oder Beatmung > 95 Stunden;4,413;;28,5;9;0,436;47;0,153;0,148;;x;2,5375
P65B;M;Aufnahmegewicht 1500 - 1999 g ohne signifikante OR-Prozedur, ohne Beatmung > 95 Stunden, mit schwerem Problem;3,353;;24,9;7;0,415;42;0,133;0,128;;x;2,3174
P65C;M;Aufnahmegewicht 1500 - 1999 g ohne signifikante OR-Prozedur, ohne Beatmung > 120 Stunden, mit anderem Problem;2,053;;17,5;5;0,338;32;0,116;0,110;;x;2,0834
P65D;M;Aufnahmegewicht 1500 - 1999 g ohne signifikante OR-Prozedur, ohne Beatmung > 120 Stunden, ohne Problem;0,957;;9,6;2;0,315;21;0,069;0,089;;x;1,7514
P66A;M;Neugeborenes ohne sign. OR-Prozedur, ohne Beatmung > 95 Std., Aufnahmegew. 2000 - 2499 g mit mehr. schw. Probl. oder Krampfanfall mit best. diag. Maßnahmen oder Beatmung > 48 Std. od. Aufnahmegew. > 2499 g, m. mehr. schw. Probl., m. Hypothermiebehandlung;2,727;;18,0;5;0,451;33;0,150;0,143;;x;2,5515
P66B;M;Aufnahmegewicht 2000 - 2499 g ohne signifikante OR-Prozedur, ohne Beatmung > 95 Stunden, mit schwerem Problem, ohne Krampfanfall mit bestimmten diagnostischen Maßnahmen, ohne Beatmung > 48 Stunden;1,773;;13,8;4;0,351;27;0,128;0,119;;x;2,1702
P66C;M;Aufnahmegewicht 2000 - 2499 g ohne signifikante OR-Prozedur, ohne Beatmung > 95 Stunden, mit anderem Problem;1,108;;10,0;2;0,365;21;0,110;0,100;;x;1,9228
P66D;M;Aufnahmegewicht 2000 - 2499 g ohne signifikante OR-Prozedur, ohne Beatmung > 95 Stunden, ohne Problem;0,216;;3,6;1;0,088;7;0,041;0,046;;x;0,8318
P67A;M;Neugeborenes, Aufnahmegewicht > 2499 g ohne signifikante OR-Prozedur, ohne Beatmung > 95 Stunden, mit mehreren schweren Problemen oder mit Hypothermiebehandlung oder Krampfanfall mit bestimmten diagnostischen Maßnahmen oder Beatmung > 24 Stunden;1,491;;9,4;2;0,491;20;0,157;;x;x;2,5081
P67B;M;Neugeborenes, Aufnahmegew. > 2499 g mit schw. Prob., oh. Hypothermiebeh., oh. Krampfanfall mit best. diag. Maßnah., oh. Beatmung > 24 Std. od. mit anderem Prob., mehr als ein Belegungstag, neugeb. Mehrling od. mit bestimmter aufwendiger Prozedur;0,687;;5,8;1;0,439;12;0,116;0,099;;x;1,9132
P67C;M;Neugeborenes, Aufnahmegew. > 2499 g oh. sig. OR-Proz., oh. Beatmung > 95 Std., ohne schw. Prob., anderes Problem und mehr als ein Belegungstag oder nicht signifikante OR-Prozedur, ohne Mehrling, ohne bestimmte aufwendige Prozeduren;0,447;;4,4;1;0,221;10;0,070;0,082;;x;1,5214
P67D;M;Neugeborenes, Aufnahmegewicht > 1999 g ohne OR-Prozedur, ohne Beatmung > 95 Stunden, ohne schweres Problem, ohne anderes Problem oder ein Belegungstag, mit bestimmter Prozedur oder best. Diagnose beim Neugeborenen oder neugeborener Mehrling;0,244;;4,0;1;0,032;8;0,042;0,048;;x;0,7452
P67E;M;Neugeborener Einling, Aufnahmegewicht > 2499 g ohne OR-Prozedur, ohne Beatmung > 95 Stunden, ohne schweres Problem, ohne anderes Problem oder ein Belegungstag, ohne bestimmte Prozedur ohne bestimmte Diagnosen beim Neugeborenen;0,171;;2,9;1;0,079;5;0,041;0,043;;x;0,6270
MDC 16 Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems;;;;;;;;;;;;;
Q01Z;O;Eingriffe an der Milz;2,171;;9,7;2;0,391;20;0,084;0,109;;;1,1697
Q02A;O;Verschiedene OR-Prozeduren bei Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems mit äußerst schweren CC;3,039;;21,3;6;0,323;39;0,074;0,102;;;0,9921
Q02B;O;Verschiedene OR-Prozeduren bei Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems ohne äußerst schwere CC, Alter < 6 Jahre oder bestimmte Exzisionen und Resektionen Mediastinum oder Thymus;1,564;;5,8;1;0,366;12;0,126;0,108;;;1,3463
Q02C;O;Verschiedene OR-Prozeduren bei Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems ohne äußerst schwere CC, Alter > 5 Jahre, ohne bestimmte Exzisionen und Resektionen Mediastinum oder Thymus;1,206;;7,9;2;0,238;19;0,063;0,080;;;0,7604
Q03A;O;Kleine Eingriffe bei Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems, Alter < 10 Jahre;0,958;;4,9;1;0,280;12;0,115;0,095;;;1,3410
Q03B;O;Kleine Eingriffe bei Krankheiten des Blutes, der blutbildenden Organe und des Immunsystems, Alter > 9 Jahre;0,708;;3,5;1;0,268;8;0,077;0,086;;;0,7160
Q60A;M;Erkrankungen des retikuloendothelialen Systems, des Immunsystems und Gerinnungsstörungen mit komplexer Diagnose oder äußerst schweren oder schweren CC, mit Milzverletzung oder Granulozytenstörung, Alter < 16 Jahre;1,113;;7,3;1;0,529;16;0,144;0,127;;;1,5750
Q60B;M;Erkrankungen des retikuloendothelialen Systems, des Immunsystems und Gerinnungsstörungen mit kompl. Diagnose oder äußerst schweren oder schweren CC, oh. Milzverletzung, oh. Granulozytenstörung, Alter < 1 Jahr oder Alter < 16 Jahre mit äußerst schweren CC;0,654;;4,4;1;0,316;11;0,148;0,117;;;1,8909
Q60C;M;Erkrankungen des retikuloendothelialen Systems, des Immunsystems und Gerinnungsstörungen mit komplexer Diagnose oder äußerst schweren oder schweren CC, ohne Milzverletzung, ohne Granulozytenstörung oder Alter > 15 Jahre oder ohne äußerst schwere CC;0,620;;5,9;1;0,386;14;0,071;0,086;;;0,8225
Q60D;M;Erkrankungen des retikuloendothelialen Systems, des Immunsystems und Gerinnungsstörungen ohne komplexe Diagnose, ohne äußerst schwere oder schwere CC;0,449;;4,0;1;0,233;9;0,071;0,081;;;0,9102
Q61A;M;Andere Erkrankungen der Erythrozyten mit äußerst schweren CC;1,486;;15,1;4;0,270;30;0,062;0,084;;;0,9490
Q61B;M;Andere Erkrankungen der Erythrozyten, ohne äußerst schwere CC;0,600;;5,1;1;0,361;12;0,066;0,079;;;0,7355
Q62Z;M;Andere Anämie;0,822;;6,7;1;0,605;16;0,079;0,099;;;0,9131
Q63A;M;Aplastische Anämie, Alter < 16 Jahre;1,000;;5,1;1;0,739;14;0,182;0,153;;;1,8664
Q63B;M;Aplastische Anämie, Alter > 15 Jahre;0,822;;7,2;1;0,565;18;0,076;0,096;;;0,8578
MDC 17 Hämatologische und solide Neubildungen;;;;;;;;;;;;;
R01A;O;Lymphom und Leukämie mit großen OR-Prozeduren, mit äußerst schweren CC, mit komplexer OR-Prozedur;4,801;;25,2;7;0,413;43;0,153;0,126;;;1,2069
R01B;O;Lymphom und Leukämie mit großen OR-Prozeduren, mit äußerst schweren CC, ohne komplexe OR-Prozedur oder ohne äußerst schwere CC, mit aufwendigem Eingriff an der Wirbelsäule;3,414;;15,7;4;0,349;31;0,129;0,104;;;0,8217
R01C;O;Lymphom und Leukämie mit großen OR-Prozeduren, ohne äußerst schwere CC, mit komplexer OR-Prozedur, ohne aufwendigen Eingriff an der Wirbelsäule;2,576;;12,3;3;0,373;27;0,121;0,112;;;0,9949
R01D;O;Lymphom und Leukämie mit großen OR-Prozeduren, ohne äußerst schwere CC, ohne komplexe OR-Prozedur;1,412;;6,6;1;0,371;16;0,079;0,098;;;0,7392
R02Z;O;Große OR-Prozeduren mit äußerst schweren CC, mit komplexer OR-Prozedur bei hämatologischen und soliden Neubildungen;4,732;;20,7;6;0,393;39;0,179;0,127;;;1,2232
R03Z;O;Lymphom und Leukämie mit bestimmter OR-Prozedur, mit äußerst schweren CC oder mit bestimmter OR-Prozedur mit schweren CC oder mit anderen OR-Prozeduren mit äußerst schweren CC, Alter < 16 Jahre;3,589;;22,3;6;0,405;40;0,127;0,122;;;0,9914
R04A;O;Andere hämatologische und solide Neubildungen mit bestimmter OR-Prozedur, mit äußerst schweren oder schweren CC;2,239;;14,2;4;0,299;30;0,074;0,098;;;0,9073
R04B;O;Andere hämatologische und solide Neubildungen mit anderer OR-Prozedur, mit äußerst schweren oder schweren CC;1,318;;9,8;2;0,353;24;0,076;0,098;;;0,6916
R05Z;O;Strahlentherapie bei hämatologischen und soliden Neubildungen, Bestrahlungen an mindestens 9 Tagen oder bei akuter myeloischer Leukämie, Alter < 19 Jahre oder mit äußerst schweren CC;4,557;;31,6;10;0,398;50;0,139;0,134;;x;0,9910
R06Z;O;Strahlentherapie bei hämatologischen und soliden Neubildungen, Bestrahlungen an mindestens 9 Tagen oder bei akuter myeloischer Leukämie, Alter > 18 Jahre, ohne äußerst schwere CC;2,820;;21,6;6;0,393;39;0,127;0,121;;x;0,7603
